Commodity,Geolocation,Year,CPI
Fish  and Seafood (ND),South Cotabato,2014,106.5
Fish  and Seafood (ND),Sultan Kudarat,2014,106.6
Fish  and Seafood (ND),Saranggani,2014,105.1
Fish  and Seafood (ND),City of Cotabato,2014,111.3
Fish  and Seafood (ND),Region XIII (Caraga),2014,102.6
Fish  and Seafood (ND),Agusan Del Norte,2014,101.0
Fish  and Seafood (ND),Agusan Del Sur,2014,102.8
Fish  and Seafood (ND),Surigao Del Norte,2014,104.8
Fish  and Seafood (ND),Surigao Del Sur,2014,102.1
Fish  and Seafood (ND),Dinagat Island,2014,104.5
Fish  and Seafood (ND),Autonomous Region in Muslim Mindanao (ARMM),2014,124.2
Fish  and Seafood (ND),Basilan,2014,116.7
Fish  and Seafood (ND),Lanao Del Sur,2014,107.2
Fish  and Seafood (ND),Maguindanao,2014,118.8
Fish  and Seafood (ND),Sulu,2014,168.1
Fish  and Seafood (ND),Tawi-Tawi,2014,104.3
Rice,National Capital Region (NCR),2015,118.1
Rice,Cordillera Administrative Region (CAR),2015,109.2
Rice,Abra,2015,103.3
Rice,Benguet,2015,112.4
Rice,Ifugao,2015,98.4
Rice,Kalinga,2015,112.9
Rice,Mt Province,2015,104.4
Rice,Apayao,2015,118.3
Rice,Region I (Ilocos Region),2015,116.1
Rice,Ilocos Norte,2015,116.6
Rice,Ilocos Sur,2015,125.2
Rice,La Union,2015,115.9
Rice,Pangasinan,2015,113.9
Rice,Region II (Cagayan Valley),2015,116.6
Rice,Batanes,2015,120.5
Rice,Cagayan,2015,111.9
Rice,Isabela,2015,121.4
Rice,Nueva Vizcaya,2015,111.3
Rice,Quirino,2015,118.2
Rice,Region III (Central Luzon),2015,120.8
Rice,Bataan,2015,112.1
Rice,Bulacan,2015,129.3
Rice,Nueva Ecija,2015,114.1
Rice,Pampanga,2015,118.2
Rice,Tarlac,2015,119.9
Rice,Zambales,2015,121.3
Rice,Aurora,2015,126.4
Rice,Region IV-A (CALABARZON),2015,116.8
Rice,Batangas,2015,120.6
Rice,Cavite,2015,113.5
Rice,Laguna,2015,119.1
Rice,Quezon,2015,111.2
Rice,Rizal,2015,119.1
Rice,Region IV-B (MIMAROPA),2015,114.7
Rice,Marinduque,2015,115.4
Rice,Mindoro Occidental,2015,114.2
Rice,Mindoro Oriental,2015,110.4
Rice,Palawan,2015,118.9
Rice,Romblon,2015,112.0
Rice,Region V (Bicol Region),2015,118.2
Rice,Albay,2015,115.4
Rice,Camarines Norte,2015,110.2
Rice,Camarines Sur,2015,123.0
Rice,Catanduanes,2015,116.3
Rice,Masbate,2015,116.9
Rice,Sorsogon,2015,119.0
Rice,Region VI (Western Visayas),2015,113.6
Rice,Aklan,2015,113.3
Rice,Antique,2015,110.3
Rice,Capiz,2015,112.2
Rice,Iloilo,2015,112.8
Rice,Negros Occidental,2015,115.2
Rice,Guimaras,2015,114.3
Rice,Region VII (Central Visayas),2015,112.6
Rice,Bohol,2015,111.7
Rice,Cebu,2015,112.3
Rice,Negros Oriental,2015,114.2
Rice,Siquijor,2015,116.9
Rice,Region VIII (Eastern Visayas),2015,115.6
Rice,Eastern Samar,2015,112.8
Rice,Leyte,2015,118.4
Rice,Northern Samar,2015,110.3
Rice,Western Samar,2015,120.8
Rice,Southern Leyte,2015,105.7
Rice,Biliran,2015,114.9
Rice,Region IX (Zamboanga Peninsula),2015,116.9
Rice,Zamboanga Del Norte,2015,123.1
Rice,Zamboanga Del Sur,2015,114.2
Rice,Zamboanga Sibugay,2015,115.1
Rice,City of Isabela,2015,114.2
Rice,Region X (Northern Mindanao),2015,111.5
Rice,Bukidnon,2015,106.4
Rice,Camiguin,2015,113.1
Rice,Lanao Del Norte,2015,101.7
Rice,Misamis Occidental,2015,113.7
Rice,Misamis Oriental,2015,121.6
Rice,Region XI (Davao Region),2015,110.0
Rice,Davao Del Norte,2015,113.3
Rice,Davao Del Sur,2015,111.1
Rice,Davao Oriental,2015,105.7
Rice,Compostela Valley,2015,104.6
Rice,Region XII (SOCCSKSARGEN),2015,108.8
Rice,North Cotabato,2015,111.8
Rice,South Cotabato,2015,107.2
Rice,Sultan Kudarat,2015,103.8
Rice,Saranggani,2015,113.8
Rice,City of Cotabato,2015,110.7
Rice,Region XIII (Caraga),2015,116.8
Rice,Agusan Del Norte,2015,111.1
Rice,Agusan Del Sur,2015,117.5
Rice,Surigao Del Norte,2015,116.5
Rice,Surigao Del Sur,2015,122.7
Rice,Dinagat Island,2015,116.6
Rice,Autonomous Region in Muslim Mindanao (ARMM),2015,110.9
Rice,Basilan,2015,106.4
Rice,Lanao Del Sur,2015,108.9
Rice,Maguindanao,2015,115.0
Rice,Sulu,2015,109.0
Rice,Tawi-Tawi,2015,112.2
Corn,National Capital Region (NCR),2015,121.7
Corn,Cordillera Administrative Region (CAR),2015,115.4
Corn,Abra,2015,100.9
Corn,Benguet,2015,109.7
Corn,Ifugao,2015,109.5
Corn,Kalinga,2015,187.5
Corn,Mt Province,2015,110.5
Corn,Apayao,2015,128.0
Corn,Region I (Ilocos Region),2015,130.1
Corn,Ilocos Norte,2015,161.2
